event,circuit,team,category,weighted_speed_delta_vs_mercedes_pct,time_weight_seconds,segment_count,segments
fastf1_2026_austrian_grand_prix,Red Bull Ring,Haas F1 Team,Straights,0.734,40.45985535175589,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_austrian_grand_prix,Red Bull Ring,McLaren,Straights,1.626,40.45985535175589,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_austrian_grand_prix,Red Bull Ring,Mercedes,Straights,0.0,40.45985535175589,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_austrian_grand_prix,Red Bull Ring,Racing Bulls,Straights,1.207,40.45985535175589,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_austrian_grand_prix,Red Bull Ring,Red Bull Racing,Straights,-1.443,40.45985535175589,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_austrian_grand_prix,Red Bull Ring,Williams,Straights,4.185,40.45985535175589,6,"seg_01, seg_03, seg_05, seg_07, seg_09, seg_11"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Alpine,Fast corners,1.835,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Aston Martin,Fast corners,7.199,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Audi,Fast corners,2.957,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Cadillac,Fast corners,5.922,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Ferrari,Fast corners,-0.515,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Haas F1 Team,Fast corners,2.449,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,McLaren,Fast corners,0.06,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Mercedes,Fast corners,0.0,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Racing Bulls,Fast corners,2.402,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Red Bull Racing,Fast corners,-0.635,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Williams,Fast corners,2.12,40.82462966234013,3,"seg_03, seg_05, seg_08"
fastf1_2026_barcelona_grand_prix,Circuit de Barcelona-Catalunya,Alpine,Slow corners,1.565,27.194810704545095,3,"seg_02, seg_04, seg_07"
