Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,SessionTime_seconds
0.268,263.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6651.114
0.548,266.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6651.394
0.708,267.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6651.554
0.948,267.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6651.794
1.108,259.0,6,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6651.954
1.268,250.0,6,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6652.114
1.548,221.0,6,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6652.394
1.708,201.0,5,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6652.554
1.908,182.0,5,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6652.754
2.228,158.0,5,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6653.074
2.508,135.0,3,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6653.354
2.788,126.0,2,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6653.634
2.948,118.0,2,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6653.794
3.268,112.0,2,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6654.114
3.428,108.0,2,0.0,False,0,0.0,0.0,0.0,0.0,0.0,6654.274
3.668,108.0,2,6.0,False,0,0.0,0.0,0.0,0.0,0.0,6654.514
3.908,107.0,2,23.0,False,0,0.0,0.0,0.0,0.0,0.0,6654.754
4.189,109.0,2,45.0,False,0,0.0,0.0,0.0,0.0,0.0,6655.035
4.348,114.0,2,53.0,False,0,0.0,0.0,0.0,0.0,0.0,6655.194
4.628,121.0,2,60.0,False,0,0.0,0.0,0.0,0.0,0.0,6655.474
4.788,126.0,2,76.0,False,0,0.0,0.0,0.0,0.0,0.0,6655.634
4.948,137.0,2,80.0,False,0,0.0,0.0,0.0,0.0,0.0,6655.794
5.268,151.0,3,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6656.114
5.508,168.0,3,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6656.354
5.868,181.0,4,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6656.714
6.268,196.0,4,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6657.114
6.548,207.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6657.394
6.748,213.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6657.594
7.108,224.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6657.954
7.348,228.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6658.194
7.588,231.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6658.434
7.788,236.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6658.634
8.188,243.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6659.034
8.388,246.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6659.234
8.548,248.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6659.394
8.708,250.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6659.554
8.868,251.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6659.714
9.068,253.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6659.914
9.468,255.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6660.314
9.868,259.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6660.714
10.228,261.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6661.074
10.428,262.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6661.274
10.628,260.0,6,98.0,False,0,0.0,0.0,0.0,0.0,0.0,6661.474
10.789,261.0,6,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6661.635
10.988,262.0,6,21.0,True,0,0.0,0.0,0.0,0.0,0.0,6661.834
11.268,250.0,6,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6662.114
11.508,234.0,6,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6662.354
11.668,227.0,5,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6662.514
12.068,201.0,5,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6662.914
12.268,191.0,4,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6663.114
12.588,180.0,4,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6663.434
12.988,170.0,3,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6663.834
13.148,161.0,3,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6663.994
13.428,156.0,3,1.0,False,0,0.0,0.0,0.0,0.0,0.0,6664.274
13.588,153.0,3,4.0,False,0,0.0,0.0,0.0,0.0,0.0,6664.434
13.788,150.0,3,13.0,False,0,0.0,0.0,0.0,0.0,0.0,6664.634
14.068,147.0,3,31.0,False,0,0.0,0.0,0.0,0.0,0.0,6664.914
14.428,150.0,3,45.0,False,0,0.0,0.0,0.0,0.0,0.0,6665.274
14.628,150.0,3,44.0,False,0,0.0,0.0,0.0,0.0,0.0,6665.474
14.868,154.0,3,52.0,False,0,0.0,0.0,0.0,0.0,0.0,6665.714
15.068,156.0,3,53.0,False,0,0.0,0.0,0.0,0.0,0.0,6665.914
15.268,157.0,3,55.0,True,0,0.0,0.0,0.0,0.0,0.0,6666.114
15.428,151.0,3,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6666.274
15.668,144.0,3,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6666.514
15.948,140.0,3,0.0,False,0,0.0,0.0,0.0,0.0,0.0,6666.794
16.188,134.0,3,2.0,False,0,0.0,0.0,0.0,0.0,0.0,6667.034
16.468,130.0,3,9.0,False,0,0.0,0.0,0.0,0.0,0.0,6667.314
16.748,130.0,3,39.0,False,0,0.0,0.0,0.0,0.0,0.0,6667.594
17.028,135.0,3,50.0,False,0,0.0,0.0,0.0,0.0,0.0,6667.874
17.228,141.0,3,59.0,False,0,0.0,0.0,0.0,0.0,0.0,6668.074
17.549,149.0,3,62.0,False,0,0.0,0.0,0.0,0.0,0.0,6668.395
17.709,157.0,3,72.0,False,0,0.0,0.0,0.0,0.0,0.0,6668.555
17.948,167.0,3,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6668.794
18.188,176.0,3,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6669.034
18.548,194.0,4,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6669.394
18.788,201.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6669.634
18.948,210.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6669.794
19.148,216.0,5,100.0,False,0,0.0,0.0,0.0,0.0,0.0,6669.994
19.308,213.0,5,64.0,True,0,0.0,0.0,0.0,0.0,0.0,6670.154
19.628,188.0,5,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6670.474
19.988,163.0,4,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6670.834
20.348,131.0,2,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6671.194
20.588,121.0,2,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6671.434
20.988,100.0,1,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6671.834
21.148,92.0,1,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6671.994
21.508,84.0,1,0.0,True,0,0.0,0.0,0.0,0.0,0.0,6672.354
21.908,79.0,1,0.0,False,0,0.0,0.0,0.0,0.0,0.0,6672.754
22.268,75.0,1,0.0,False,0,0.0,0.0,0.0,0.0,0.0,6673.114
22.628,74.0,1,12.0,False,0,0.0,0.0,0.0,0.0,0.0,6673.474
22.868,76.0,1,19.0,False,0,0.0,0.0,0.0,0.0,0.0,6673.714
23.068,80.0,1,30.0,False,0,0.0,0.0,0.0,0.0,0.0,6673.914
23.308,87.0,1,44.0,False,0,0.0,0.0,0.0,0.0,0.0,6674.154
23.548,94.0,1,51.0,False,0,0.0,0.0,0.0,0.0,0.0,6674.394
23.788,102.0,1,60.0,False,0,0.0,0.0,0.0,0.0,0.0,6674.634
23.989,110.0,1,64.0,False,0,0.0,0.0,0.0,0.0,0.0,6674.835
24.229,125.0,2,70.0,False,0,0.0,0.0,0.0,0.0,0.0,6675.075
