Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z,SessionTime_seconds
0.016,0.0,1,23.0,True,0,0.0,0.0,0.0,0.0,0.0,3319.661
0.256,0.0,1,23.0,False,0,0.0,0.0,0.0,0.0,0.0,3319.901
0.657,9.0,1,23.0,False,0,0.0,0.0,0.0,0.0,0.0,3320.302
0.937,14.0,1,23.0,False,0,10021.372610575858,0.32167849725022424,-7630.0,-6497.0,503.0,3320.582
1.217,17.0,1,27.0,False,0,10136.141944459087,0.325362506246657,-7674.0,-6391.0,503.0,3320.862
1.577,17.0,1,41.0,False,0,10156.365692875243,0.3260116733071064,-7677.0,-6371.0,503.0,3321.222
1.817,16.0,1,44.0,False,0,10169.404097685649,0.3264301962608907,-7678.0,-6358.0,503.0,3321.462
2.097,16.0,1,43.0,False,0,10177.404097685649,0.32668699022295594,-7678.0,-6350.0,503.0,3321.742
2.417,16.0,1,42.0,False,0,10195.431854062968,0.32726566759636583,-7679.0,-6332.0,503.0,3322.062
2.617,15.0,1,42.0,False,0,10195.431854062968,0.32726566759636583,-7679.0,-6332.0,503.0,3322.262
3.577,16.0,1,50.0,False,0,10250.468205686237,0.3290322929452351,-7681.0,-6277.0,503.0,3323.222
4.057,17.0,1,50.0,False,0,10267.497592052163,0.32957892339479083,-7680.0,-6260.0,503.0,3323.702
4.296,17.0,1,53.0,False,0,10283.528811594044,0.330093513442653,-7679.0,-6244.0,503.0,3323.941
4.656,17.0,1,54.0,False,0,10291.528811594044,0.3303503074047182,-7679.0,-6236.0,503.0,3324.301
4.896,18.0,1,54.0,False,0,10296.528811594044,0.330510803631009,-7679.0,-6231.0,503.0,3324.541
5.096,18.0,1,54.0,False,0,10313.55819795997,0.33105743408056476,-7678.0,-6214.0,503.0,3324.741
5.376,18.0,1,53.0,False,0,10332.55819795997,0.33166731974046965,-7678.0,-6195.0,503.0,3325.021
5.576,18.0,1,54.0,False,0,10332.55819795997,0.33166731974046965,-7678.0,-6195.0,503.0,3325.221
5.896,19.0,1,54.0,False,0,10360.629535655207,0.33256838849387355,-7676.0,-6167.0,503.0,3325.541
6.136,19.0,1,46.0,False,0,10360.629535655207,0.33256838849387355,-7676.0,-6167.0,503.0,3325.781
6.416,20.0,1,0.0,False,0,10391.645660493748,0.3335639826920234,-7675.0,-6136.0,503.0,3326.061
6.656,20.0,1,52.0,False,0,10391.645660493748,0.3335639826920234,-7675.0,-6136.0,503.0,3326.301
6.977,21.0,1,100.0,False,0,10414.667389360191,0.33430296281317406,-7674.0,-6113.0,503.0,3326.622
7.417,21.0,1,100.0,False,0,10433.693686950632,0.3349136926058843,-7673.0,-6094.0,503.0,3327.062
7.737,23.0,1,83.0,False,0,10456.715415817074,0.335652672727035,-7672.0,-6071.0,503.0,3327.382
7.937,23.0,1,82.0,False,0,10462.715415817074,0.33584526819858385,-7672.0,-6065.0,503.0,3327.582
8.217,24.0,1,80.0,False,0,10495.775966326708,0.3369064869177622,-7670.0,-6032.0,503.0,3327.862
8.377,25.0,1,67.0,False,0,10495.775966326708,0.3369064869177622,-7670.0,-6032.0,503.0,3328.022
8.657,25.0,1,13.0,False,0,10527.83840541047,0.3379356670134865,-7668.0,-6000.0,503.0,3328.302
8.937,25.0,1,22.0,False,0,10537.83840541047,0.33825665946606803,-7668.0,-5990.0,503.0,3328.582
9.097,26.0,1,39.0,False,0,10549.879999989262,0.33864318556375195,-7667.0,-5978.0,503.0,3328.742
9.377,26.0,1,53.0,False,0,10562.918404799668,0.33906170851753625,-7666.0,-5965.0,503.0,3329.022
9.537,26.0,1,29.0,False,0,10583.942200841297,0.33973655650293394,-7665.0,-5944.0,503.0,3329.182
9.817,28.0,1,29.0,False,0,10603.04717401584,0.34034981172251405,-7663.0,-5925.0,503.0,3329.462
9.977,28.0,1,30.0,False,0,10623.07215841034,0.3409925986078838,-7662.0,-5905.0,503.0,3329.622
10.497,29.0,1,59.0,False,0,10652.141042117837,0.3419256878353915,-7660.0,-5876.0,503.0,3330.142
10.857,30.0,1,68.0,False,0,10692.34054460232,0.34321606152489675,-7656.0,-5836.0,503.0,3330.502
11.016,32.0,1,50.0,False,0,10692.34054460232,0.34321606152489675,-7656.0,-5836.0,503.0,3330.661
